﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1tiICdCXT1Vlnwyg5o2Pph","Something Warm","No Spirit","Reminiscing","1","3","200571","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3hEvCIFZBMRBPBFyxRrj0g","Dusk","Blue Wednesday, Soul Food Horns","The Great Escape","1","5","162371","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0KsccNWGXfrghYCtgporzg","Leaving For Good","Hanz","Leaving For Good","1","2","148146","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0ONn7t8x49V3tOR5ZcIrpf","Your Favorite Place","Joey Pecoraro","Chillhop Essentials Winter 2017","1","4","221536","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5kU9QtibGt2i7PKYoGF3BG","Pick Up","Moods, Yasper","Sofa Stories","1","1","158874","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1lXvU0yu7JfJhaJXvX3V2O","Embers","Blue Wednesday, Aso","The Great Escape","1","6","198904","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0Hb74VU55g7kqIQhuhR7eu","Hibiscus Emoji","Strehlow","Sleep in, Love","1","1","118153","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0obpUpeuJMHvrrQdKfoPV2","Island Boy","Blue Wednesday, Taiyo Ky","The Great Escape","1","2","154590","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1fJKmssGc3E6t7uWNFpzgG","Isolated","Toonorth","Ambedo","1","5","168175","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4DIQbr7iqFaHsw8KkKl47l","Cloud Dance","Blue Wednesday, Ian Ewing","The Great Escape","1","3","178741","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0l5sHFAGJddRC4qAjj3l77","Morning In The Cafe","No Spirit","Reminiscing","1","1","145185","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1uCvWqfM0EeORLSehHrdbA","Goodmorning","Aviino","Plush","1","1","147000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3JjyMz84W8PVzIcG6RjyEc","Space Cadet","Philanthrope, Sleepy Fish","Chillhop Daydreams 2","1","1","142500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5HEvQ5GRojeuCV90p3sDXA","Slope","Hanz","Leaving For Good","1","3","120757","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0BMZMHuEd2Ep7FUX8CyFQ3","Midnight Service","Ian Ewing, Toonorth","Chillhop Essentials Winter 2019","1","2","250000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6CyuMrRhvzDQxUoY406sF4","Forward","Hanz","Leaving For Good","1","4","98295","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2ZA36RgVNIDcy7OF8peEc1","Forest Lake Walk","No Spirit","Reminiscing","1","2","176250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4uRbgPgLLmqiuMhQnsLBr1","Vibe Vibe","Moods, Yasper","Sofa Stories","1","4","129040","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1UMmJcv2o8D1esaX86ubUC","Slightly Improvised","No Spirit","Reminiscing","1","4","154285","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5zN8uBkwm96Ahhatud8nb1","Melted","Hazy Year, C4C","Chillhop Essentials Winter 2019","1","3","168000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1CCopFWlWgbwfJn1JGs2Ez","Careless","No Spirit","Reminiscing","1","5","158800","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:45GyptlafFnFcICOHweM5I","Demo 13 v2","Moods, Yasper","Sofa Stories","1","3","81000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1R1b7WJyRm8gt1T7fJLC3T","Nostalgic","junior state","Levitate","1","1","194042","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:690gJU9J12d34iZApDmUZq","Zen","Ian Ewing, chromonicci, Philanthrope","Chillhop Essentials Winter 2019","1","4","210000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4qv0hnIWqV1k1AksEY52RP","Sofa Stories","Moods, Yasper","Sofa Stories","1","2","189250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2YNqlQdQexW0egXpV7xdy4","Our Adventures","xander.","Found Memories","1","3","175609","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3FjQBmXsNPo7PJC5Ldq5Ph","Drifter","Brock Berrigan, Saib","Chillhop Essentials Winter 2019","1","5","143250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0jsPu4ssbhytWYb73MPGqh","Smthn Bout U","Ian Ewing","Chillhop Daydreams 2","1","9","181374","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:55HuPFpIADZHYlUiYN5SZq","Night Walk","xander.","Found Memories","1","1","210000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:7c2Soj0kfLHJgjEOlxLrYj","Breakfast w Bastien","Moods, Yasper","Sofa Stories","1","5","148500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2sM0HcVQcFrNJEB6lpVebu","me and my tiger","Allem Iversom","Chillhop Essentials Winter 2019","1","6","197000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3zVRsxOkOFznMaQtw0IC3j","Wistfulness","xander., WEI","Found Memories","1","2","206582","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3kdF3UOy4t8hXpGLxvzkMh","sopha","Plusma, Von Wegen","Chillhop Essentials Winter 2019","1","7","124000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1UZPZlb9dGyfawFhcO4v54","Daydream","xander., Wesley Curtis","Found Memories","1","4","176000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:03GCRXkR8Ou7cCe0hcw0f5","From Nothing","fantompower","infinite (i)","1","1","146510","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6oAuzCaEuIwQxKyVEfYtTY","Bain D'été","C Y G N","Chillhop Essentials Winter 2019","1","8","162500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0nT9RgemFNukgv7tQopGPM","My Love For Her","xander., Wesley Curtis","Found Memories","1","5","156000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4a3ydEo8oSzI5QCln0lNr9","pretty af","Aves","Chillhop Essentials Winter 2019","1","9","134000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:29FeWn0tBBDluPBgSO08xS","Cloud Neon","fantompower","infinite (i)","1","5","143124","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1kqUg7KtyYaaYXa6P5o1no","warm for the winter","Middle School, Aso","Chillhop Essentials Winter 2019","1","10","162624","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0XTRycTWH8TR2xBEjwByNS","Mindfulness","C Y G N","BODY N SOUL","1","10","168000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:35Q7bYUddUErritRd0HphS","Self Affray","fantompower","infinite (i)","1","7","185000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3IbuasV0yTjUxwkQwlVKrO","ramona","j'san, Kyle McEvoy","Chillhop Essentials Winter 2019","1","11","184374","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1tRzlG66dK6UHp311JrhDE","My Own World","fantompower","infinite (i)","1","8","141874","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3z0xfckQurvgmTvXxbIr50","no more fires","Sleepy Fish","Chillhop Essentials Winter 2019","1","12","180000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0mEO13xg3DKnDbNWmwFwK2","Get Up and Go","Aviino","Plush","1","2","125591","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3SxDI6XJumfD8HNggxeGcY","Early Morning","Ruck P","Chillhop Essentials Summer 2019","1","14","217142","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6dxA9YT5joy5YXia447O0z","Where Home Is","fantompower","infinite (i)","1","6","146250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2fUi9b8VN7fuYd4YuK6yrz","Finding You","dryhope","Chillhop Essentials Winter 2019","1","13","174000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0mYGSeTfFQU5ZAWaEjAND6","Loved","Aviino","Plush","1","3","171854","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2VDjO21TjXpLLCTu7rHqcx","mozambique","Comodo","Chillhop Essentials Winter 2019","1","14","194000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5k0MvADsuxZCmFXnN3BSto","Endless Ether","fantompower","infinite (i)","1","4","201874","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1ueE0nzxOBKZcVvlB13lBu","Under Leaves","Mr. Käfer","On The Rhodes","1","1","136750","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0dizD5AU7xMTttvrK9QWnD","Slopes","Philanthrope, Yasper","Chillhop Essentials Winter 2018","1","1","179200","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
